project_code,economy,vehicle_type,data_year,phev_utilisation_rate,phev_utilisation_rate_pct,lower_rate,lower_pct,upper_rate,upper_pct,evidence_grade,estimation_status
01_AUS,Australia,LCVs,2024,0.47,47,0.37,37,0.57,57,B,synthetic_estimate
01_AUS,Australia,LPVs,2024,0.52,52,0.42,42,0.62,62,B,synthetic_estimate
02_BD,Brunei Darussalam,LCVs,2025,0.29,29,0.13,13,0.47,47,D,synthetic_estimate
02_BD,Brunei Darussalam,LPVs,2025,0.34,34,0.18,18,0.52,52,D,synthetic_estimate
03_CDA,Canada,LCVs,2025,0.4,40,0.3,30,0.5,50,B,synthetic_estimate
03_CDA,Canada,LPVs,2025,0.45,45,0.35,35,0.55,55,B,synthetic_estimate
04_CHL,Chile,LCVs,2024,0.35,35,0.23,23,0.47,47,C,synthetic_estimate
04_CHL,Chile,LPVs,2024,0.4,40,0.28,28,0.52,52,C,synthetic_estimate
05_PRC,China,LCVs,2024,0.59,59,0.51,51,0.67,67,A,synthetic_estimate
05_PRC,China,LPVs,2024,0.64,64,0.56,56,0.72,72,A,synthetic_estimate
06_HKC,"Hong Kong, China",LCVs,2025,0.49,49,0.37,37,0.59,59,C,synthetic_estimate
06_HKC,"Hong Kong, China",LPVs,2025,0.54,54,0.42,42,0.64,64,C,synthetic_estimate
07_INA,Indonesia,LCVs,2025,0.33,33,0.17,17,0.47,47,C,synthetic_estimate
07_INA,Indonesia,LPVs,2025,0.38,38,0.22,22,0.52,52,C,synthetic_estimate
08_JPN,Japan,LCVs,2024,0.4,40,0.3,30,0.49,49,B,synthetic_estimate
08_JPN,Japan,LPVs,2024,0.45,45,0.35,35,0.54,54,B,synthetic_estimate
09_ROK,Korea,LCVs,2024,0.48,48,0.39,39,0.56,56,B,synthetic_estimate
09_ROK,Korea,LPVs,2024,0.53,53,0.44,44,0.61,61,B,synthetic_estimate
10_MAS,Malaysia,LCVs,2024,0.37,37,0.23,23,0.49,49,C,synthetic_estimate
10_MAS,Malaysia,LPVs,2024,0.42,42,0.28,28,0.54,54,C,synthetic_estimate
11_MEX,Mexico,LCVs,2025,0.36,36,0.25,25,0.47,47,C,synthetic_estimate
11_MEX,Mexico,LPVs,2025,0.41,41,0.3,30,0.52,52,C,synthetic_estimate
12_NZ,New Zealand,LCVs,2024,0.45,45,0.35,35,0.55,55,B,synthetic_estimate
12_NZ,New Zealand,LPVs,2024,0.5,50,0.4,40,0.6,60,B,synthetic_estimate
13_PNG,Papua New Guinea,LCVs,2025,0.03,3,0.0,0,0.13,13,D,synthetic_estimate
13_PNG,Papua New Guinea,LPVs,2025,0.08,8,0.02,2,0.18,18,D,synthetic_estimate
14_PE,Peru,LCVs,2024,0.28,28,0.15,15,0.41,41,C,synthetic_estimate
14_PE,Peru,LPVs,2024,0.33,33,0.2,20,0.46,46,C,synthetic_estimate
15_PHL,Philippines,LCVs,2025,0.3,30,0.17,17,0.43,43,C,synthetic_estimate
15_PHL,Philippines,LPVs,2025,0.35,35,0.22,22,0.48,48,C,synthetic_estimate
16_RUS,Russia,LCVs,2024,0.13,13,0.03,3,0.27,27,D,synthetic_estimate
16_RUS,Russia,LPVs,2024,0.18,18,0.08,8,0.32,32,D,synthetic_estimate
17_SGP,Singapore,LCVs,2025,0.53,53,0.43,43,0.61,61,B,synthetic_estimate
17_SGP,Singapore,LPVs,2025,0.58,58,0.48,48,0.66,66,B,synthetic_estimate
18_CT,Chinese Taipei,LCVs,2024,0.45,45,0.33,33,0.55,55,C,synthetic_estimate
18_CT,Chinese Taipei,LPVs,2024,0.5,50,0.38,38,0.6,60,C,synthetic_estimate
19_THA,Thailand,LCVs,2024,0.42,42,0.31,31,0.53,53,C,synthetic_estimate
19_THA,Thailand,LPVs,2024,0.47,47,0.36,36,0.58,58,C,synthetic_estimate
20_USA,United States,LCVs,2024,0.37,37,0.29,29,0.45,45,A,synthetic_estimate
20_USA,United States,LPVs,2024,0.42,42,0.34,34,0.5,50,A,synthetic_estimate
21_VN,Viet Nam,LCVs,2025,0.32,32,0.21,21,0.45,45,C,synthetic_estimate
21_VN,Viet Nam,LPVs,2025,0.37,37,0.26,26,0.5,50,C,synthetic_estimate
